year,round,winner,opponent,winner_goals,opponent_goals
2018,Final,France,Croatia,4,2
2018,Third Place,Belgium,England,2,0
2018,Semi-Final,Croatia,England,2,1
2018,Semi-Final,France,Belgium,1,0
2018,Quarter-Final,Croatia,Russia,3,2
2018,Quarter-Final,England,Sweden,2,0
2018,Quarter-Final,Belgium,Brazil,2,1
2018,Quarter-Final,France,Uruguay,2,0
2018,Round of 16,Croatia,Denmark,2,1
2018,Round of 16,Russia,Spain,2,1
2018,Round of 16,Sweden,Switzerland,1,0
2018,Round of 16,England,Colombia,2,1
2018,Round of 16,Belgium,Japan,3,2
2018,Round of 16,Brazil,Mexico,2,0
2018,Round of 16,France,Argentina,4,3
2018,Round of 16,Uruguay,Portugal,2,1
2014,Final,Germany,Argentina,1,0
2014,Third Place,Netherlands,Brazil,3,0
2014,Semi-Final,Argentina,Netherlands,1,0
2014,Semi-Final,Germany,Brazil,7,1
2014,Quarter-Final,Argentina,Belgium,1,0
2014,Quarter-Final,Netherlands,Costa Rica,1,0
2014,Quarter-Final,Brazil,Colombia,2,1
2014,Quarter-Final,Germany,France,1,0
2014,Round of 16,Argentina,Switzerland,1,0
2014,Round of 16,Belgium,USA,2,1
2014,Round of 16,Netherlands,Mexico,2,1
2014,Round of 16,Costa Rica,Greece,2,1
2014,Round of 16,France,Nigeria,2,0
2014,Round of 16,Germany,Algeria,2,1
2014,Round of 16,Brazil,Chile,2,1
2014,Round of 16,Colombia,Uruguay,2,0
